age_group,pop
0-4,14326250
5-9,17201017
10-14,16019423
15-19,12712478
20-24,12075641
25-29,12703367
30-34,9851897
35-39,9666804
40-44,7968811
45-49,6834043
50-54,5508815
54-59,3850480
60-64,3932396
65-69,2225209
70-74,2162358
75-79,843679
80+,1370014
