"age_group","pop","prop"
"0-9",2106777,0.174923698376375
"10-19",2387793,0.198256190625406
"20-29",3095980,0.257056286308086
"30-39",2004910,0.16646577787387
"40-49",1230235,0.102145246541072
"50-59",656006,0.0544675566882932
"60-69",351786,0.0292084583024361
"70-79",145844,0.0121092891492569
"80-89",64646,0.00536749613520517
